Category: All categories

Week,greta thunberg: (New Mexico),climate change: (New Mexico)
2017-04-02,0,5
2017-04-09,0,10
2017-04-16,0,10
2017-04-23,0,19
2017-04-30,0,30
2017-05-07,0,10
2017-05-14,0,0
2017-05-21,0,0
2017-05-28,0,28
2017-06-04,0,5
2017-06-11,0,5
2017-06-18,0,10
2017-06-25,0,0
2017-07-02,0,6
2017-07-09,0,5
2017-07-16,0,5
2017-07-23,0,11
2017-07-30,0,5
2017-08-06,0,5
2017-08-13,0,0
2017-08-20,0,0
2017-08-27,0,30
2017-09-03,0,20
2017-09-10,0,20
2017-09-17,0,20
2017-09-24,0,10
2017-10-01,0,10
2017-10-08,0,10
2017-10-15,0,10
2017-10-22,0,5
2017-10-29,0,10
2017-11-05,0,14
2017-11-12,0,0
2017-11-19,0,19
2017-11-26,0,22
2017-12-03,0,22
2017-12-10,0,4
2017-12-17,0,5
2017-12-24,0,5
2017-12-31,0,0
2018-01-07,0,4
2018-01-14,0,9
2018-01-21,0,4
2018-01-28,0,13
2018-02-04,0,8
2018-02-11,0,4
2018-02-18,0,17
2018-02-25,0,8
2018-03-04,0,8
2018-03-11,0,8
2018-03-18,0,4
2018-03-25,0,4
2018-04-01,0,4
2018-04-08,0,4
2018-04-15,0,9
2018-04-22,0,0
2018-04-29,0,13
2018-05-06,0,9
2018-05-13,0,0
2018-05-20,0,4
2018-05-27,0,5
2018-06-03,0,9
2018-06-10,0,0
2018-06-17,0,4
2018-06-24,0,9
2018-07-01,0,9
2018-07-08,0,4
2018-07-15,0,4
2018-07-22,0,9
2018-07-29,0,4
2018-08-05,0,4
2018-08-12,0,26
2018-08-19,0,9
2018-08-26,0,9
2018-09-02,0,13
2018-09-09,0,17
2018-09-16,0,8
2018-09-23,0,9
2018-09-30,0,13
2018-10-07,0,17
2018-10-14,0,26
2018-10-21,0,0
2018-10-28,0,0
2018-11-04,0,12
2018-11-11,0,0
2018-11-18,0,14
2018-11-25,0,29
2018-12-02,4,13
2018-12-09,0,26
2018-12-16,0,0
2018-12-23,5,14
2018-12-30,0,13
2019-01-06,0,0
2019-01-13,0,21
2019-01-20,0,4
2019-01-27,0,8
2019-02-03,8,20
2019-02-10,0,29
2019-02-17,4,12
2019-02-24,0,33
2019-03-03,0,4
2019-03-10,4,17
2019-03-17,0,8
2019-03-24,0,17
2019-03-31,4,17
2019-04-07,0,17
2019-04-14,0,4
2019-04-21,0,26
2019-04-28,0,9
2019-05-05,4,29
2019-05-12,0,30
2019-05-19,0,26
2019-05-26,0,13
2019-06-02,0,4
2019-06-09,0,13
2019-06-16,0,13
2019-06-23,0,17
2019-06-30,0,4
2019-07-07,0,8
2019-07-14,0,4
2019-07-21,4,21
2019-07-28,0,13
2019-08-04,0,8
2019-08-11,8,12
2019-08-18,12,8
2019-08-25,0,19
2019-09-01,0,15
2019-09-08,7,11
2019-09-15,11,42
2019-09-22,100,15
2019-09-29,45,15
2019-10-06,4,15
2019-10-13,4,31
2019-10-20,0,4
2019-10-27,0,20
2019-11-03,8,19
2019-11-10,12,8
2019-11-17,12,35
2019-11-24,0,4
2019-12-01,11,23
2019-12-08,50,23
2019-12-15,27,0
2019-12-22,8,8
2019-12-29,12,8
2020-01-05,11,19
2020-01-12,4,22
2020-01-19,15,7
2020-01-26,18,14
2020-02-02,0,14
2020-02-09,7,14
2020-02-16,0,7
2020-02-23,14,14
2020-03-01,17,31
2020-03-08,7,17
2020-03-15,0,3
2020-03-22,7,7
2020-03-29,0,3
2020-04-05,3,3
2020-04-12,0,22
2020-04-19,0,6
2020-04-26,0,13
2020-05-03,3,13
2020-05-10,6,3
2020-05-17,3,7
2020-05-24,7,3
2020-05-31,3,3
2020-06-07,3,3
2020-06-14,3,3
2020-06-21,3,10
2020-06-28,0,3
2020-07-05,4,4
